movie_id,language
26302610,汉语普通话
21319012,英语
25965348,英语
25831828,汉语普通话
23255228,英语
26351660,英语
25773294,汉语普通话
25934062,英语
20388974,英语
11638862,英语
26301744,汉语普通话
25800203,日语
25863916,韩语
26304163,汉语普通话
6521506,瑞典语
6521506,英语
25870483,英语
25951377,英语
25934051,粤语
25934051,汉语普通话
21267622,日语
24857986,英语
22994673,匈牙利语
10757685,英语
25725759,英语
10518895,俄语
26299479,英语
25792608,丹麦语 Danish
23035067,英语
25695667,韩语
24522866,英语
25967447,日语
25917239,波兰语
25831643,印地语
19902983,日语
22011074,挪威语
22011074,瑞典语
22011074,丹麦语
22011074,英语
22011074,塞尔维亚语
22011074,德语
24850017,英语
11584019,英语
11584019,爱尔兰语
11584019,苏格兰盖尔语
10727845,英语
25823076,意大利语
10581884,英语
10581884,俄语
24523811,英语
20270421,汉语普通话
26280561,汉语普通话
26280561,闽南语
24696717,日语
25755250,英语
22266974,英语
25861680,日语
10796578,英语
10796578,韩语
10796578,日语
25842340,英语
25842340,俄语
25842340,泰语
4206507,英语
7015586,英语
25884874,日语
25814705,日语
25905892,日语
25875053,汉语普通话
25875053,闽南语
21767208,日语
24879206,英语
20284797,英语
5327400,英语
5327400,法语
5327400,德语
25741353,日语
25806698,汉语普通话
24750126,西班牙语
20561487,德语
24735122,英语
24694696,英语
25747610,日语
20494466,法语
10543692,日语
21793611,英语
24750968,英语
25670379,英语
25836143,英语
20275845,印地语
25780555,英语
24876979,英语
25858785,粤语
25858785,汉语普通话
25858785,泰语
25858785,四川话
25858785,英语
4202983,英语
25762403,韩语
26301742,汉语普通话
25762404,韩语
24858413,日语
3993588,汉语普通话
3993588,蒙古语
23010202,日语
10486471,英语
25747028,韩语
22747237,英语
25931607,英语
11528271,英语
25886498,汉语普通话
3036472,英语
21267670,日语
24737161,汉语普通话
25806368,法语
24522651,英语
20490940,法语
25723328,英语
5327474,英语
10755696,英语
25741354,日语
24885205,英语
10733937,法语
10733937,英语
10733937,日语
25795972,汉语普通话
25795972,缅甸语
24525283,俄语
7155005,瑞典语
7155005,英语
7155005,法语
7155005,挪威语
25879014,英语
19976774,英语
19976774,法语
19976774,德语
19976774,瑞士德语
24839508,韩语
25980500,英语
25733490,意大利语
25818840,英语
24869803,爱沙尼亚语
24869803,俄语
24869803,格鲁吉亚语
25738793,日语
20395150,日语
21323275,日语
25805036,荷兰语
24706561,英语
24706561,俄语
25909566,英语
10764054,英语
25945491,英语
19997896,汉语普通话
24153243,英语
25795310,日语
3011022,英语
24706496,英语
20515015,英语
25726142,英语
4109746,英语
10758799,挪威语
10758799,英语
25740192,英语
4301659,英语
21319853,英语
24870630,日语
25770733,英语
25794230,英语
25794230,德语
22254890,德语
20436812,英语
21965464,英语
21965464,西班牙语
25823638,泰语
10465148,法语
10465148,英语
25862591,西班牙语
24869399,意大利语
24869399,英语
3439317,英语
25747030,韩语
25927387,英语
25769362,日语
25857885,日语
25815008,英语
25823035,韩语
24696982,英语
21770915,土耳其语
21770915,英语
7065161,韩语
25700831,汉语普通话
25700831,韩语
24697539,英语
24311267,英语
25753339,日语
25903068,泰语
25885962,英语
20468389,法语
24869824,日语
19974285,英语
19974285,西班牙语
24304229,英语
23776064,日语
1292052,英语
3541415,英语
3541415,日语
3541415,法语
1295644,英语
1295644,意大利语
1292720,英语
1291546,汉语普通话
