movie_id,director
24696717,三池崇史
25755250,戴思睿·阿卡万
22266974,Oliver Blackburn
25861680,天野千寻 
25861680, 名倉愛 
25861680, 大九明子
10796578,洪尚秀
25842340,Tony Mahony 
25842340, 安格斯·桑普森
4206507,巴瑞·莱文森
7015586,派翠西亚·里根
25884874,倉本雷大
25814705,森淳一
25905892,堤幸彦 
25905892, 木村ひさし
25875053,乔梁
21767208,熊切和嘉
24879206,戴维·黑尔
20284797,罗杰·米歇尔
5327400,彼德·切尔瑟姆
25741353,饭塚健
25806698,查慕春
24750126,达米安·斯兹弗隆
20561487,Ramon Zürcher
24735122,伊斯雷尔·霍洛维茨
24694696,缇·威斯特
25747610,三木孝浩
20494466,Cécile Telerman
10543692,北村龙平
21793611,乔恩·斯图尔特
24750968,Dan Beers
25670379,查尔斯·马丁·史密斯
25836143,丹尼尔·巴尔兹
20275845,法拉·可汗
25780555,罗伯·科恩
24876979,扬·德芒热
25858785,王晶 
25858785, 张敏
4202983,玛嘉·莎塔琵
25762403,李海准
26301742,海涛
25762404,崔豪
24858413,佐久間紀佳
3993588,让-雅克·阿诺
23010202,园子温
10486471,西蒙·韦斯特
25747028,李在容
22747237,约翰·巴特勒
25931607,Brian Falk
11528271,凯特·巴克佛洛兰
25886498,张荣吉
3036472,迈克尔·科斯塔
21267670,木村大作
24737161,鲁坚
25806368,梅拉尼·罗兰
24522651,Emilis Velyvis
20490940,Riad Sattouf
25723328,Greg Francis
5327474,米盖尔·阿尔特塔
10755696,小乔治·提尔曼
25741354,李斗士男
24885205,肖恩·克里斯汀森
10733937,帕斯卡尔·费兰
25795972,赵德胤
24525283,安德烈·萨金塞夫
7155005,鲁本·奥斯特伦德
25879014,Damon Beesley 
25879014, Iain Morris
19976774,奥利维耶·阿萨亚斯
24839508,金光植
25980500,伊桑·斯波尔丁
25733490,爱丽丝·洛尔瓦彻
25818840,Dearbhla Walsh
24869803,萨萨·乌鲁沙泽
25738793,前田弘二
20395150,佐藤信介
21323275,河濑直美
25805036,保·范·德·奥斯特
24706561,艾拉·萨克斯
25909566,Gerard Johnstone
10764054,萨姆·米勒
25945491,唐·迈克尔·保罗
19997896,孙铁
24153243,迈克尔·塞洛蒙
25795310,福田雄一
3011022,贝尼特·米勒
24706496,迈克尔·温特伯顿
20515015,朱利叶斯·艾弗里
25726142,斯考特·佛雷
4109746,内德·本森
10758799,埃里克·普派
25740192,马修·沃楚斯
4301659,迈克·诺斯卡
21319853,迈克·李
24870630,剧团一人
25770733,凯文·史密斯
25794230,杰梅奈·克莱门特 
25794230, 泰卡·怀蒂蒂
22254890,Andreas Prochaska
20436812,Michael Berry
21965464,特奥多尔·梅尔菲
25823638,Naphat Chaithiangthum
10465148,让-吕克·戈达尔
25862591,Natalia Meta
24869399,Alessandro Rak
3439317,亨里克·鲁本·甘茨
25747030,金英卓
25927387,Spike Brandt
25769362,八木龙一 
25769362, 山崎贵
25857885,吉田浩太
25815008,理查德·格雷泽 
25815008, 沃什·韦斯特摩兰
25823035,李宋喜一
24696982,迈克·卡希尔
21770915,努里·比格·锡兰
7065161,金韩民
25700831,张蠡
24697539,Peter Askin
24311267,托马斯·卡特
25753339,本木克英
25903068,Sopon Sukdapisit
25885962,那奇欧·维加隆多 
25885962, Gregg Bishop 
25885962, 马希尔·萨门多 
25885962, 贾斯汀·本森 
25885962, 艾伦·穆尔黑德
20468389,菲利普·加瑞尔
24869824,日向朝子
19974285,那奇欧·维加隆多
24304229,克里斯蒂安·莱沃
23776064,石井裕也
1292052,弗兰克·德拉邦特
3541415,克里斯托弗·诺兰
1295644,吕克·贝松
1292720,罗伯特·泽米吉斯
1291546,陈凯歌
3793023,拉吉库马尔·希拉尼
1291561,宫崎骏
1292063,罗伯托·贝尼尼
1292722,詹姆斯·卡梅隆
1292001,朱塞佩·托纳多雷
2131459,安德鲁·斯坦顿
1929463,李安
3011091,莱塞·霍尔斯道姆
1295124,史蒂文·斯皮尔伯格
1292213,刘镇伟
1291549,克里斯托夫·巴拉蒂
6786002,奥利维·那卡什 
6786002, 艾力克·托兰达
3319755,罗伯·莱纳
1849031,加布里尔·穆奇诺
1291560,宫崎骏
1292064,彼得·威尔
1292000,大卫·芬奇
1291841,弗朗西斯·福特·科波拉
1309046,詹姆斯·麦克特格
1299398,刘镇伟
2129039,彼特·道格特
1907966,柯克·德·米科 
1907966, 克里斯·桑德斯
3742360,姜文
1307914,刘伟强 
1307914, 麦兆辉
1291828,朱塞佩·托纳多雷
1851857,克里斯托弗·诺兰
1291552,彼得·杰克逊
1291583,宫崎骏
1293839,威廉·惠勒
1293182,西德尼·吕美特
1293350,盖·里奇
1291858,姜文
1292215,让-皮埃尔·热内
1900841,弗洛里安·亨克尔·冯·多纳斯马
1292223,大卫·芬奇
1300267,维克多·弗莱明 
1300267, 乔治·库克 
1300267, 山姆·伍德
1306029,朗·霍华德
1780330,克里斯托弗·诺兰
1292370,蒂姆·波顿
1292224,米洛斯·福尔曼
1787291,中岛哲也
1298624,马丁·布莱斯
1291571,彼得·杰克逊
1292365,张艺谋
1291572,彼得·杰克逊
1652587,詹姆斯·卡梅隆
1485260,大卫·芬奇
3287562,皮艾尔·柯芬 
3287562, 克里斯·雷纳德
1308807,宫崎骏
4917726,姜炯哲
1292343,埃里克·布雷斯 
1292343, J.麦基·格鲁伯
1292220,岩井俊二
1291548,彼得·威尔
2334904,马丁·斯科塞斯
1292402,朱塞佩·托纳多雷
1291832,昆汀·塔伦蒂诺
21360417,金秉祐
1296736,罗曼·波兰斯基
1293544,乔纳森·戴米
2353023,迪恩·德布洛斯 
2353023, 克里斯·桑德斯
