movie_id,region
12012475,United States of America_美国
25884436,Spain_西班牙
25884436,Hungary_匈牙利
26258752,United States of America_美国
25908302,China_中国大陆
22276795,China_台湾
25828521,South Korea_韩国
25722262,United States of America_美国
10741865,United States of America_美国
10741865,United Kingdom_英国
25789352,China_中国大陆
24325906,United States of America_美国
24842277,United States of America_美国
25706778,China_中国大陆
25800269,South Korea_韩国
26306980,United States of America_美国
26356055,Thailand_泰国
25767853,Mexico_墨西哥
25747016,United Kingdom_英国
25747016,Belgium_比利时
25747016,Netherlands_荷兰
25823113,Japan_日本
25843352,South Korea_韩国
25743807,China_中国大陆
24746974,Australia_澳大利亚
21965450,United Kingdom_英国
25977063,South Korea_韩国
26263437,China_香港
26263437,China_中国大陆
20436359,United States of America_美国
20436359,Iran_伊朗
26550734,China_中国大陆
6874433,United States of America_美国
24697552,United States of America_美国
26022765,United States of America_美国
25832727,Japan_日本
6873851,United States of America_美国
25789453,South Korea_韩国
26011893,China_中国大陆
10764850,United States of America_美国
10764850,Australia_澳大利亚
25869868,China_中国大陆
25799040,Japan_日本
25750671,Australia_澳大利亚
25750671,Ireland_爱尔兰
3095502,France_法国
3095502,Brazil_巴西
25824753,South Korea_韩国
3073287,United States of America_美国
25957030,Belgium_比利时
25957030,Canada_加拿大
25957030,France_法国
26590070,China_中国大陆
25875209,United States of America_美国
25931245,Japan_日本
26417423,United States of America_美国
25908941,United States of America_美国
25740966,Czech Republic_捷克
24845637,China_中国大陆
10526498,France_法国
25777784,Japan_日本
25905773,Thailand_泰国
24753439,France_法国
25881067,China_中国大陆
25810966,United States of America_美国
10755525,United States of America_美国
24639908,France_法国
26317346,China_中国大陆
26176503,United States of America_美国
26228762,Spain_西班牙
25882861,Russia_俄罗斯
25776178,United States of America_美国
25934361,Austria_奥地利
25861681,Japan_日本
25730893,United Kingdom_英国
24877015,United States of America_美国
11600988,Canada_加拿大
25739366,United States of America_美国
25821620,Japan_日本
25870091,United States of America_美国
26423179,United States of America_美国
25823469,United States of America_美国
25932073,China_香港
25749515,United States of America_美国
26348959,China_中国大陆
20271845,Canada_加拿大
25911449,Georgia_格鲁吉亚
25911449,Germany_德国
25911449,France_法国
25911449,Czech Republic_捷克
25911449,Kazakhstan_哈萨克斯坦
25911449,Hungary_匈牙利
22419013,Japan_日本
25705507,Poland_波兰
26235707,South Korea_韩国
19929592,Ukraine_乌克兰
19929592,Netherlands_荷兰
26201173,Turkey_土耳其
22419433,Japan_日本
25833539,United States of America_美国
24711890,United States of America_美国
26277313,China_中国大陆
25841241,Japan_日本
25741337,South Korea_韩国
25785061,United States of America_美国
20379462,France_法国
20379462,United Kingdom_英国
20379462,Spain_西班牙
20379462,United States of America_美国
25821380,United States of America_美国
25975912,South Korea_韩国
11624706,United States of America_美国
24851526,China_台湾
24851526,Japan_日本
10755160,United States of America_美国
